Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Costa Rica,CRI,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,5.2,5.5,4.0,4.3,4.2,4.0,3.8,4.0,3.8
Cote d'Ivoire,CIV,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,57.1,,,,,,,57.4,
Croatia,HRV,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,1.7,2.2,2.0,2.5,2.2,1.9,1.5,
Cyprus,CYP,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,
Czech Republic,CZE,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,
Denmark,DNK,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.2,0.7,0.0,0.0,0.0,0.4,0.2,0.2,
Djibouti,DJI,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,38.7,44.6,,,
Dominican Republic,DOM,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,14.1,12.7,12.4,10.4,11.5,10.5,8.3,7.0,6.2
East Asia & Pacific,EAS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,37.4,,30.6,26.5,23.8,17.6,,,
Ecuador,ECU,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,18.1,17.2,14.7,12.2,11.4,10.1,8.6,9.4,9.4
"Egypt, Arab Rep.",EGY,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,30.7,,26.6,,22.7,,,16.1,
El Salvador,SLV,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,19.6,18.5,17.9,16.2,14.4,12.4,12.2,9.9,10.3
Equatorial Guinea,GNQ,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Eritrea,ERI,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Estonia,EST,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,1.0,1.2,1.7,1.7,1.5,1.5,1.2,1.0,
Ethiopia,ETH,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,73.1,,,,,61.4,
Europe & Central Asia,ECS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,7.5,,7.0,6.6,6.3,5.7,,,
Fiji,FJI,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,17.0,,,,,14.3,,,
Finland,FIN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fragile and conflict affected situations,FCS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,61.7,,58.8,58.8,57.4,56.3,,,
France,FRA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,
Gabon,GAB,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
"Gambia, The",GMB,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,53.0,,,,,37.8,
Georgia,GEO,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,32.8,29.6,32.6,29.4,26.5,22.1,18.7,16.7,17.1
Germany,DEU,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,0.0,0.0,,0.0,,0.0,
Ghana,GHA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,32.5,,,,
Greece,GRC,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.5,0.7,1.2,2.0,3.0,2.7,3.0,2.7,
Guatemala,GTM,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,24.2,,
Guinea,GIN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,70.3,,,,
Guinea-Bissau,GNB,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,84.5,,,,,,
Guyana,GUY,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Haiti,HTI,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,48.3,,,,
Honduras,HND,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,30.3,27.3,29.4,31.7,36.1,32.9,31.8,32.2,30.0
Hungary,HUN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.2,0.2,0.2,0.2,0.7,0.7,1.0,1.0,
Iceland,ISL,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.0,0.2,0.2,0.2,0.0,0.0,0.0,,
IDA countries classified as fragile situations,DFS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,66.8,,63.7,63.7,62.3,61.3,,,
IDA total,IDA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,66.8,,64.5,63.4,61.6,60.4,,,
India,IND,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,70.0,,60.4,,,,,
Indonesia,IDN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,56.6,54.7,48.1,45.0,43.5,40.7,37.8,33.1,30.9
"Iran, Islamic Rep.",IRN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,3.8,,,,1.2,2.5,,
Iraq,IRQ,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,17.9,,,,
Ireland,IRL,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.2,0.7,0.7,0.7,0.5,0.7,0.5,,
Israel,ISR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,1.1,,1.3,,,,
Italy,ITA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,1.0,1.2,1.7,1.5,1.7,2.0,1.7,,
Jamaica,JAM,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Japan,JPN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.7,,,,,,,,
Jordan,JOR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,3.0,,2.1,,,,,,
Kazakhstan,KAZ,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,2.2,2.6,1.9,0.7,0.4,0.3,0.2,0.3,
Kenya,KEN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Kiribati,KIR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
"Korea, Rep.",KOR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.7,,0.7,,0.7,,,,
Kosovo,XKX,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,13.3,13.5,9.6,5.4,3.1,4.3,2.9,
Kyrgyz Republic,KGZ,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,25.0,21.1,23.3,21.4,21.5,26.3,19.7,23.2,19.1
Lao PDR,LAO,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,58.7,,,,
Latin America & Caribbean,LCN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,15.6,,13.9,13.0,11.8,11.3,,,
Latvia,LVA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,2.5,3.7,3.7,3.0,2.7,2.5,1.7,1.5,
Lebanon,LBN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,0.1,,,,,
Lesotho,LSO,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,78.1,,,,,,
Liberia,LBR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,73.8,,
Lithuania,LTU,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,2.2,4.2,3.2,1.7,2.0,2.0,2.7,1.5,
Low & middle income,LMY,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,45.8,,42.0,39.1,37.1,33.8,,,
Low income,LIC,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,80.2,,78.2,77.0,75.1,73.8,,,
Lower middle income,LMC,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,59.7,,55.3,52.0,49.8,47.1,,,
Luxembourg,LUX,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.0,0.0,0.0,0.0,0.2,0.1,0.2,,
"Macedonia, FYR",MKD,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,17.4,16.0,14.0,12.0,10.0,,
Madagascar,MDG,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,91.3,,91.0,,,,
Malawi,MWI,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,88.8,,,,,,
Malaysia,MYS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,3.1,,,,,,,
Maldives,MDV,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,24.4,,,,,,,
Mali,MLI,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,79.4,,,,,,,
Malta,MLT,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.2,0.5,0.2,0.2,0.2,0.0,0.0,,
Mauritania,MRT,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,34.4,,,,,,24.1,,
Mauritius,MUS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,3.2,,,,
Mexico,MEX,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,13.8,,14.0,,13.1,,14.2,,11.2
"Micronesia, Fed. Sts.",FSM,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,39.5,,,
Middle East & North Africa,MEA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,16.8,,14.9,15.0,14.8,14.5,,,
Middle income,MIC,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Moldova,MDA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,9.2,8.2,6.1,4.3,3.4,2.2,1.1,1.4,1.3
Mongolia,MNG,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,9.8,7.0,4.5,,3.2,,6.5
Montenegro,MNE,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.5,0.6,0.8,1.0,2.1,2.5,0.8,,
Morocco,MAR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Mozambique,MOZ,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,88.7,,,,,,81.9,,
Myanmar,MMR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,29.8,
Namibia,NAM,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,47.0,,,,,,,
Nepal,NPL,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,50.8,,,,,,
Netherlands,NLD,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.2,
Nicaragua,NIC,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,22.4,,,,,12.8,,
Niger,NER,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,83.3,,,76.9,,
Nigeria,NGA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,77.6,,,,,,,
Norway,NOR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,
Pakistan,PAK,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,47.8,46.4,,39.7,,,
Palau,PLW,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Panama,PAN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,13.9,9.5,10.8,8.7,10.0,8.1,8.4,6.7,7.0
Papua New Guinea,PNG,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,65.6,,,,,,,
Paraguay,PRY,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,14.0,14.4,13.3,12.7,9.9,6.7,7.5,6.9,7.0
Peru,PER,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,19.5,17.3,14.8,13.3,12.3,11.4,10.7,10.4,10.0
Philippines,PHL,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,37.2,,,38.7,,,33.7,
Poland,POL,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.2,
Portugal,PRT,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,1.0,0.5,0.5,0.9,1.5,1.7,1.5,1.2,
Romania,ROU,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,5.6,4.3,5.3,5.0,4.6,4.5,,,3.3
Russian Federation,RUS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.5,0.5,0.5,0.3,0.3,0.3,0.2,0.3,
Rwanda,RWA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,81.6,,,81.1,,,
Samoa,WSM,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,9.7,,,,,,,,
Sao Tome and Principe,STP,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,70.1,,,,,,
Senegal,SEN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,67.5,,,,,
Serbia,SRB,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,1.0,1.5,2.1,,,1.7,,1.1,
Seychelles,SYC,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,2.5,,,
Sierra Leone,SLE,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,81.3,,,,,
Slovak Republic,SVK,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.7,1.0,1.0,0.7,0.7,0.7,1.2,1.0,
Slovenia,SVN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Solomon Islands,SLB,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,58.8,,,
South Africa,ZAF,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,37.0,,35.8,,,,37.6,,
South Asia,SAS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,67.9,,64.0,59.2,56.2,52.6,,,
South Sudan,SSD,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,64.8,,,,,,,
Spain,ESP,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,1.0,1.0,1.0,1.7,1.5,1.7,1.5,1.5,
Sri Lanka,LKA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,18.3,,,16.1,,,,9.5
St. Lucia,LCA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Sub-Saharan Africa,SSF,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,72.1,,71.0,69.9,68.7,67.5,,,
Sudan,SDN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,40.5,,,,,,,
Suriname,SUR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Swaziland,SWZ,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,64.4,,,,,,,
Sweden,SWE,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,
Switzerland,CHE,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.2,0.0,0.2,0.0,0.0,0.0,0.0,,
Syrian Arab Republic,SYR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Tajikistan,TJK,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,25.7,,,,,,20.3,
Tanzania,TZA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,79.0,,,,,
Thailand,THA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,3.4,3.0,2.5,1.4,1.5,1.1,,,
Timor-Leste,TLS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,73.2,,
Togo,TGO,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,75.4,,,,73.2,
Tonga,TON,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,8.9,,,,,,,
Trinidad and Tobago,TTO,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Tunisia,TUN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,9.1,,,,,,
Turkey,TUR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,6.0,5.0,4.5,4.1,3.4,2.9,2.4,2.7,1.8
Turkmenistan,TKM,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Tuvalu,TUV,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,17.6,,,,,,
Uganda,UGA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,72.4,,,67.4,,,,
Ukraine,UKR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.4,0.7,0.3,0.2,0.2,0.1,0.1,0.5,0.5
United Kingdom,GBR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.5,0.2,0.2,0.5,0.2,0.2,0.2,0.2,
United States,USA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,1.3,,,1.4,,,1.3
Upper middle income,UMC,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,23.7,,19.9,16.8,14.7,10.1,,,
Uruguay,URY,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,1.8,1.8,1.3,1.0,1.1,0.8,0.7,0.6,0.5
Uzbekistan,UZB,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Vanuatu,VUT,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,39.5,,,,,,
"Venezuela, RB",VEN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Vietnam,VNM,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,46.7,,17.3,,13.4,,11.2,,
West Bank and Gaza,PSE,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,3.1,3.7,3.4,,,,,
World,WLD,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,38.4,,35.4,33.0,31.3,28.6,,,
"Yemen, Rep.",YEM,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,52.2,,
Zambia,ZMB,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,79.7,,,,,74.3,
Zimbabwe,ZWE,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,47.2,,,,,
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.84,3.55,4.0,5.0,5.454545454545451,5.9,7.0,8.26,10.5957264186601
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,41.806866709554896,42.894848819042394,44.1184434641424,45.505313543485606,47.0192047299574,48.6041233955212,50.1761786600496,51.6749287749288,53.0834053242655
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,23.86,41.2,45.0,49.0,54.6559590399494,57.2,60.1,63.252932696931,66.363444701023
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,107.566204379562,106.843759124088,106.31463503649599,106.02901459854,105.85405109489099,105.66029197080299,105.441751824818,105.135145985401,104.967189781022
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.9455268800332
