Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Australia,AUS,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Income share held by highest 10%,SI.DST.10TH.10,27.4,..,26.5,..,..,..,..,..,..,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.3951219512195,81.5439024390244,81.6951219512195,81.8951219512195,82.0463414634146,82.1487804878049,82.3,82.4,82.5,..
Austria,AUT,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.3,9.2,9.4,9.3,9.4,9.4,9.6,9.8,10,..
Austria,AUT,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,6.35
Austria,AUT,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Income share held by highest 10%,SI.DST.10TH.10,24.1,24.7,23.5,23.7,23.4,24.2,24,23.8,..,..
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.4317073170732,80.3317073170732,80.5804878048781,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439,81.190243902439,80.890243902439,..
Azerbaijan,AZE,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.4,17,18.3,19.2,18.8,18.3,17.9,17.2,16.3,..
Azerbaijan,AZE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,7.11
Azerbaijan,AZE,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,24,23,23,21,18,16,15,13,12,..
Azerbaijan,AZE,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.238,70.646,70.987,71.26,71.478,71.656,71.8,71.921,72.026,..
"Bahamas, The",BHS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.499,15.445,15.323,15.145,14.947,14.757,14.581,14.42,14.271,..
"Bahamas, The",BHS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,13.17
"Bahamas, The",BHS,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.41,74.591,74.761,74.923,75.079,75.23,75.379,75.527,75.675,..
Bahrain,BHR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.236,16.86,16.544,16.268,16.003,15.729,15.433,15.111,14.762,..
Bahrain,BHR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,16.52
Bahrain,BHR,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.77,75.913,76.056,76.199,76.341,76.482,76.622,76.761,76.9,..
Bangladesh,BGD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,22.262,21.717,21.224,20.78,20.375,19.997,19.637,19.29,18.95,..
Bangladesh,BGD,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,8.38
Bangladesh,BGD,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,115,117,119,120,121,122,122,120,116,..
Bangladesh,BGD,Income share held by highest 10%,SI.DST.10TH.10,..,..,26.9,..,..,..,..,..,26.8,..
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.312,69.759,70.198,70.626,71.039,71.431,71.803,72.155,72.489,..
Barbados,BRB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.671,12.577,12.48,12.38,12.281,12.183,12.088,11.995,11.905,..
Barbados,BRB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,13.57
Barbados,BRB,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,45,38,32,27,24,24,24,23,21,..
Barbados,BRB,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.648,74.811,74.973,75.133,75.292,75.448,75.603,75.755,75.906,..
Belarus,BLR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.3,11.5,11.4,11.5,12.2,12.5,12.5,12.5,12.4,..
Belarus,BLR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,5.18
Belarus,BLR,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Income share held by highest 10%,SI.DST.10TH.10,22.3,22.6,22.9,21.9,21.8,22.1,22.6,22.2,22.9,..
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.4560975609756,70.4073170731707,70.4048780487805,70.5536585365854,71.9658536585366,72.4707317073171,72.9707317073171,73.6243902439025,73.8268292682927,..
Belgium,BEL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.9,11.8,11.9,11.6,11.5,11.2,11.2,10.8,10.8,..
Belgium,BEL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,4.29
Belgium,BEL,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,Income share held by highest 10%,SI.DST.10TH.10,22.7,22.7,22.7,22.3,21.9,21.8,22.4,22.2,..,..
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.6804878048781,80.0341463414634,80.1829268292683,80.5853658536585,80.3853658536585,80.5878048780488,81.2878048780488,80.9926829268293,80.9926829268293,..
Belize,BLZ,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,24.422,23.985,23.66,23.428,23.248,23.086,22.921,22.739,22.534,..
Belize,BLZ,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,17.11
Belize,BLZ,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,32,34,36,36,36,38,40,41,40,..
Belize,BLZ,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.517,69.611,69.676,69.731,69.798,69.895,70.027,70.192,70.384,..
Benin,BEN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,39.884,39.59,39.278,38.945,38.591,38.218,37.83,37.431,37.026,..
Benin,BEN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,0.99
Benin,BEN,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,90,83,80,78,77,69,60,52,48,..
Benin,BEN,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,34.5,..,..,..,37.6,..,..
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.654,59.009,59.319,59.595,59.855,60.113,60.373,60.639,60.907,..
Bermuda,BMU,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.8,12.5,11.8,10.4,10,10.4,10.5,9.4,9.6,..
Bermuda,BMU,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,13
Bermuda,BMU,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.2365853658537,79.3884390243903,79.2885365853658,81.1526829268293,81.6778048780488,80.5724390243902,80.7973170731707,81.0121951219512,81.2270731707317,..
Bhutan,BTN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,21.7,21.135,20.58,20.051,19.57,19.148,18.782,18.46,18.165,..
Bhutan,BTN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,9.75
Bhutan,BTN,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,30.7,..,..,..,..,..
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.792,67.315,67.79,68.227,68.639,69.038,69.43,69.817,70.197,..
Bolivia,BOL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,26.515,25.997,25.502,25.039,24.612,24.223,23.87,23.549,23.252,..
Bolivia,BOL,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,6.89
Bolivia,BOL,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,193,189,190,182,164,140,120,109,104,..
Bolivia,BOL,Income share held by highest 10%,SI.DST.10TH.10,38.5,36.9,..,33.7,33.7,35.2,36,34.8,32.1,..
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.272,65.847,66.408,66.945,67.451,67.922,68.357,68.756,69.125,..
Bosnia and Herzegovina,BIH,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.229,9.219,9.19,9.149,9.113,9.096,9.098,9.12,9.158,..
Bosnia and Herzegovina,BIH,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,10.08
Bosnia and Herzegovina,BIH,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,25.1,..,..,..,25.1,..,..
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.619,75.758,75.905,76.06,76.223,76.39,76.561,76.735,76.911,..
Botswana,BWA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,25.331,25.311,25.286,25.217,25.079,24.856,24.541,24.14,23.669,..
Botswana,BWA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,4.81
Botswana,BWA,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,243,244,239,227,214,200,191,183,177,..
Botswana,BWA,Income share held by highest 10%,SI.DST.10TH.10,..,49.6,..,..,..,..,..,..,..,..
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.919,58.45,59.868,61.179,62.425,63.63,64.78,65.846,66.797,..
Brazil,BRA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.053,15.749,15.492,15.269,15.06,14.852,14.635,14.405,14.163,..
Brazil,BRA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,8.11
Brazil,BRA,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,22,19,17,15,13,12,11,11,10,..
Brazil,BRA,Income share held by highest 10%,SI.DST.10TH.10,42.5,42.2,..,41.7,41.6,41.7,40.6,40.4,..,..
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.129,73.488,73.838,74.174,74.488,74.777,75.042,75.284,75.509,..
British Virgin Islands,VGB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,13.67
British Virgin Islands,VGB,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.641,16.567,16.553,16.557,16.541,16.475,16.342,16.138,15.873,..
Brunei Darussalam,BRN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,12.79
Brunei Darussalam,BRN,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,14,16,18,20,19,17,15,13,12,..
Brunei Darussalam,BRN,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.656,76.699,76.719,76.734,76.764,76.823,76.917,77.046,77.203,..
Bulgaria,BGR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.4,10.9,10.2,9.6,9.5,9.2,9.4,9.2,9.1,..
Bulgaria,BGR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,5.81
Bulgaria,BGR,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,Income share held by highest 10%,SI.DST.10TH.10,25.6,25.7,26.9,26,27.4,27.5,28.8,..,..,..
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.9634146341463,73.4121951219512,73.5121951219512,74.1634146341463,74.3146341463415,74.8609756097561,74.4658536585366,74.6146341463415,74.6146341463415,..
Burkina Faso,BFA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,43.438,42.89,42.314,41.721,41.127,40.543,39.977,39.436,38.92,..
Burkina Faso,BFA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,2.42
Burkina Faso,BFA,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,201,196,188,181,174,170,167,167,167,..
Burkina Faso,BFA,Income share held by highest 10%,SI.DST.10TH.10,..,32,..,..,..,..,29.6,..,..,..
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.618,56.376,57.096,57.762,58.377,58.942,59.457,59.927,60.361,..
Burundi,BDI,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,43.549,43.699,43.736,43.663,43.506,43.285,43.005,42.662,42.248,..
Burundi,BDI,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,6.05
Burundi,BDI,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,31,..,..,..,..
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.926,54.386,54.861,55.338,55.807,56.259,56.688,57.094,57.481,..
Cabo Verde,CPV,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,23.896,23.384,22.898,22.45,22.052,21.706,21.407,21.144,20.901,..
Cabo Verde,CPV,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,2.42
Cabo Verde,CPV,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,94,91,91,90,87,82,77,72,68,..
Cabo Verde,CPV,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.881,71.899,71.941,72.019,72.127,72.259,72.418,72.599,72.798,..
Cambodia,KHM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,25.947,25.767,25.503,25.168,24.8,24.428,24.056,23.682,23.296,..
Cambodia,KHM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,4
Cambodia,KHM,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,127,121,119,118,117,114,108,102,97,..
Cambodia,KHM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.391,66.01,66.555,67.034,67.466,67.868,68.251,68.62,68.981,..
Cameroon,CMR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,40.013,39.686,39.307,38.876,38.403,37.899,37.374,36.837,36.3,..
Cameroon,CMR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,7.2
Cameroon,CMR,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,122,109,96,85,76,68,66,64,63,..
Cameroon,CMR,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,35,..,..,..
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.535,54.996,55.424,55.832,56.241,56.665,57.111,57.582,58.073,..
Canada,CAN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.3,11.3,11.1,11,11,10.8,10.8,10.8,10.8,..
Canada,CAN,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,7.37
Canada,CAN,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
Canada,CAN,Income share held by highest 10%,SI.DST.10TH.10,..,..,25.8,..,..,25.3,..,..,..,..
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.6951219512195,80.9463414634146,81.1975609756098,81.4487804878049,81.583512195122,81.7720487804878,81.9530487804878,82.1290243902439,82.300512195122,..
Caribbean small states,CSS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.9730305151723,17.7854636534735,17.5556462178754,17.4220170857217,17.2429054230423,17.0633068877596,16.8297001641595,16.6876731309567,16.4835250079105,..
Caribbean small states,CSS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,11.8598233487841
Caribbean small states,CSS,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,61.4923131128184,61.1466666032128,62.2390375006058,62.0931051779788,61.520449773739,60.9733671055429,61.0095036347696,59.598400147906,56.1995407898408,..
Caribbean small states,CSS,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.8165811915985,72.0421471122722,72.2523920321063,72.4446318371778,72.6191798536699,72.7791798911218,72.9261802778276,73.0627324010547,73.192408496541,..
Cayman Islands,CYM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..,15.5,15,14.5,13.4,12.5,12.2,10.7,..,..
